#EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 19-06-2015
#THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

#Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
#air temperature and precipitation series for the European Climate Assessment.
#Int. J. of Climatol., 22, 1441-1453.
#Data and metadata available at http://www.ecad.eu

#FILE FORMAT (MISSING VALUE CODE IS -9999):

#01-06 STAID: Station identifier
#08-13 SOUID: Source identifier
#15-22 DATE : Date YYYYMMDD
#24-28 SS   : sunshine in 0.1 Hours
#30-34 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

#This is the series (SOUID: 107654) of IRELAND, WATERFORD (TYCOR) (STAID: 1760)
#See file sources.txt for more info.



 STAID, SOUID,    DATE,   SS, Q_SS
  1760,107654,19630203,    5,    0
  1760,107654,19630204,    0,    0
  1760,107654,19630205,    0,    0
  1760,107654,19630206,   39,    0
  1760,107654,19630207,   46,    0
  1760,107654,19630208,   29,    0
  1760,107654,19630209,    0,    0
  1760,107654,19630210,    0,    0
  1760,107654,19630211,    0,    0
  1760,107654,19630212,    0,    0
  1760,107654,19630213,    3,    0
  1760,107654,19630214,   23,    0
  1760,107654,19630215,   32,    0
  1760,107654,19630216,    0,    0
  1760,107654,19630217,    6,    0
  1760,107654,19630218,   65,    0
  1760,107654,19630219,   12,    0
  1760,107654,19630220,   50,    0
  1760,107654,19630221,   90,    0
  1760,107654,19630222,   63,    0
  1760,107654,19630223,   53,    0
  1760,107654,19630224,    3,    0
  1760,107654,19630225,   32,    0
  1760,107654,19630226,   25,    0
  1760,107654,19630227,   70,    0
  1760,107654,19630228,   23,    0
  1760,107654,19630301,   80,    0
  1760,107654,19630302,   14,    0
  1760,107654,19630303,    0,    0
  1760,107654,19630304,   48,    0
  1760,107654,19630305,    0,    0
  1760,107654,19630306,    3,    0
  1760,107654,19630307,    4,    0
  1760,107654,19630308,   20,    0
  1760,107654,19630309,   11,    0
  1760,107654,19630310,   66,    0
  1760,107654,19630311,   13,    0
  1760,107654,19630312,   54,    0
  1760,107654,19630313,    0,    0
  1760,107654,19630314,    0,    0
  1760,107654,19630315,   49,    0
  1760,107654,19630316,   45,    0
  1760,107654,19630317,    0,    0
  1760,107654,19630318,   78,    0
  1760,107654,19630319,   17,    0
  1760,107654,19630320,   29,    0
  1760,107654,19630321,   20,    0
  1760,107654,19630322,   74,    0
  1760,107654,19630323,  107,    0
  1760,107654,19630324,    1,    0
  1760,107654,19630325,   61,    0
  1760,107654,19630326,   64,    0
  1760,107654,19630327,   80,    0
  1760,107654,19630328,   12,    0
  1760,107654,19630329,   60,    0
  1760,107654,19630330,-9999,    9
  1760,107654,19630331,    0,    0
  1760,107654,19630401,-9999,    9
  1760,107654,19630402,-9999,    9
  1760,107654,19630403,-9999,    9
  1760,107654,19630404,-9999,    9
  1760,107654,19630405,-9999,    9
  1760,107654,19630406,-9999,    9
  1760,107654,19630407,-9999,    9
  1760,107654,19630408,-9999,    9
  1760,107654,19630409,-9999,    9
  1760,107654,19630410,-9999,    9
  1760,107654,19630411,-9999,    9
  1760,107654,19630412,-9999,    9
  1760,107654,19630413,-9999,    9
  1760,107654,19630414,-9999,    9
  1760,107654,19630415,-9999,    9
  1760,107654,19630416,-9999,    9
  1760,107654,19630417,-9999,    9
  1760,107654,19630418,-9999,    9
  1760,107654,19630419,-9999,    9
  1760,107654,19630420,-9999,    9
  1760,107654,19630421,-9999,    9
  1760,107654,19630422,-9999,    9
  1760,107654,19630423,-9999,    9
  1760,107654,19630424,-9999,    9
  1760,107654,19630425,-9999,    9
  1760,107654,19630426,-9999,    9
  1760,107654,19630427,-9999,    9
  1760,107654,19630428,-9999,    9
  1760,107654,19630429,-9999,    9
  1760,107654,19630430,-9999,    9
  1760,107654,19630501,-9999,    9
  1760,107654,19630502,-9999,    9
  1760,107654,19630503,-9999,    9
  1760,107654,19630504,-9999,    9
  1760,107654,19630505,-9999,    9
  1760,107654,19630506,-9999,    9
  1760,107654,19630507,-9999,    9
